"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2012-01-03",36.094647,22.617781,31.73999,18.379999,15.62166,41.443647
"2012-01-04",36.603417,22.830111,31.879773,18.219999,15.510988,41.434621
"2012-01-05",37.215831,23.03321,32.14187,17.700001,15.740838,42.400526
"2012-01-06",37.602122,22.793185,31.932188,17.440001,15.579093,42.833829
"2012-01-09",37.451375,23.273234,32.159348,17.469999,15.62166,42.066519
"2012-01-10",37.338315,23.448638,32.29913,17.700001,15.877056,42.364417
"2012-01-11",36.462094,23.467102,32.639856,17.690001,16.004746,42.680365
"2012-01-12",36.490358,23.540956,32.858266,17.26,16.081369,43.231022
"2012-01-13",36.179443,23.430174,32.561224,17.129999,15.842999,42.328307
"2012-01-17",36.254814,23.577884,32.596169,16.77,16.192039,42.933128
"2012-01-18",36.763589,23.744054,32.666062,17.120001,16.413378,43.384485
"2012-01-19",37.1593,23.882531,32.963111,17.25,16.796475,43.853898
"2012-01-20",37.03682,24.067165,32.849527,17.85,16.336764,42.996318
"2012-01-23",36.980288,23.937921,32.709745,18.530001,16.353783,43.104643
"2012-01-24",36.980288,23.873299,32.823321,17.950001,16.234605,43.330321
"2012-01-25",37.272363,24.113325,33.382465,18.66,15.987727,43.64627
"2012-01-26",37.074504,24.288727,33.172782,18.51,16.021774,43.339347
"2012-01-27",36.980288,24.307191,32.797112,18.42,16.072858,43.167832
"2012-01-30",36.735325,24.334887,32.701017,18.110001,16.251633,43.240051
"2012-01-31",36.650529,24.537984,32.377758,18.219999,16.030292,42.463716
"2012-02-01",37.055664,24.787242,32.928156,18.190001,16.362303,42.400526
"2012-02-02",36.659949,24.639534,32.482596,17.09,16.123933,42.147763
"2012-02-03",37.686918,25.064194,33.364987,19.209999,16.413378,43.655299
"2012-02-06",38.120316,25.008804,33.172782,19.440001,16.651747,43.980277
"2012-02-07",38.610247,25.008804,33.286359,19.68,16.600672,44.052493
"2012-02-08",38.883478,25.156512,33.295098,19.889999,16.702834,44.56704
"2012-02-09",39.128441,25.350377,32.945633,19.91,16.353783,44.576069
"2012-02-10",39.053069,25.09189,32.779634,19.530001,16.328247,44.431635
"2012-02-13",39.373408,25.304219,33.094154,19.48,16.52405,44.585095
"2012-02-14",39.194393,25.156512,33.05921,19.129999,16.302708,44.269146
"2012-02-15",38.864634,26.328944,32.74469,19.99,16.038802,43.754598
"2012-02-16",39.137865,26.448956,33.111632,20.5,16.183528,44.142766
"2012-02-17",39.33572,26.929007,32.936894,20.6,16.685804,43.953193
"2012-02-21",39.166129,26.836689,32.823321,20.66,16.634719,43.673354
"2012-02-22",38.883478,27.030557,32.395236,20.879999,16.430408,43.122697
"2012-02-23",39.081333,27.519838,32.596169,21.190001,16.72837,42.869938
"2012-02-24",38.921166,26.947471,32.928156,21.73,16.651747,42.833829
"2012-02-27",39.232081,26.947471,33.060122,21.690001,16.592153,42.337336
"2012-02-28",39.505312,27.113643,33.306448,22.26,16.864578,42.572041
"2012-02-29",39.561844,27.150569,32.734618,21.389999,16.915654,43.023398
"2012-03-01",39.938711,27.187497,32.954556,21.57,17.000787,44.079576
"2012-03-02",39.910447,26.993629,32.673043,21.370001,16.864578,43.763624
"2012-03-05",40.230785,26.864385,32.51469,20.73,16.592153,43.754598
"2012-03-06",39.571264,26.698214,32.118811,20.360001,16.268661,42.644259
