"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"'Til There Was You",1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"10 Things I Hate About You",1999,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,1,0,0,1,0
"100 Mile Rule",2002,98,1100000,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0
"13 Going On 30",2004,98,37000000,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,1,0
"13th Warrior, The",1999,102,85000000,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"15 Minutes",2001,120,42000000,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"1776",1972,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"PG",0,0,0,1,0,0,0
"2 Fast 2 Furious",2003,107,76000000,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"20 Dates",1998,87,60000,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,1,1,0
"200 Cigarettes",1999,101,6000000,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"2001: A Space Travesty",2000,99,26000000,2.5,2023,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"2046",2004,129,12000000,7.6,2663,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,0,1,0,1,0
"21 Grams",2003,124,20000000,8,21857,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"24 Hour Woman, The",1999,93,2500000,5.6,149,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"25th Hour",2002,135,15000000,7.8,15788,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,"R",0,0,0,1,0,0,0
"28 Days",2000,103,43000000,6,7465,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"28 Days Later...",2002,113,8000000,7.3,24174,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,0,0,0,0
"3000 Miles to Graceland",2001,125,62000000,5.4,7298,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"40 Days and 40 Nights",2002,96,17000000,5.4,8609,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"R",0,0,1,1,0,1,0
"50 First Dates",2004,99,75000000,6.8,13497,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0
"51st State, The",2001,92,28000000,6.1,6752,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,1,0,0,0,0
"54",1998,100,13000000,5.4,6905,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"6th Day, The",2000,123,82000000,5.9,12064,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"8 Mile",2002,110,41000000,6.8,17900,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"8MM",1999,123,40000000,5.9,18541,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Abandon",2002,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"About Schmidt",2002,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,0,0
"About a Boy",2002,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG-13",0,0,1,1,0,0,0
"Absolon",2003,96,8000000,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Absolute Power",1997,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Abyss, The",1989,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Adaptation.",2002,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",1,0,0,0,0,1,0
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,1,1,0,0,0,0
"Affliction",1997,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"After Image",2001,92,1200000,3.9,60,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"After the Sunset",2004,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Agent Cody Banks",2003,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Air Bud",1997,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Air Force One",1997,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Air Marshal",2003,90,500000,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"Alamo, The",2004,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Albino Alligator",1996,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alexander",2004,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0
"Alfie",2004,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Ali",2001,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alien",1979,116,11000000,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,0,0,0,0
"Alien Abduction",2005,90,600000,1.9,73,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Alien Escape",1997,85,1000000,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,"R",0,0,0,0,0,0,0
"Alien: Resurrection",1997,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Aliens",1986,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,0,0,0,0,0,0
