"","Movie","Release.Date","Distributor","Release.Date.Year","Release.Date.Month","Release.Week.Year","Release.Date.Weekday"
"buenavista.5","Doctor Strange",2016-11-04,"buenavista",2016,11,45,"Fri"
"buenavista.6","Moana",2016-11-23,"buenavista",2016,11,47,"Wed"
"buenavista.7","Rogue One: A Star Wars Story",2016-12-16,"buenavista",2016,12,51,"Fri"
"buenavista.8","Beauty and the Beast (2017)",2017-03-17,"buenavista",2017,3,11,"Fri"
"buenavista.9","Born in China",2017-04-21,"buenavista",2017,4,16,"Fri"
"buenavista.10","Guardians of the Galaxy Vol. 2",2017-05-05,"buenavista",2017,5,18,"Fri"
"buenavista.11","Pirates of the Caribbean: Dead Men Tell No Tales",2017-05-26,"buenavista",2017,5,21,"Fri"
"buenavista.12","Cars 3",2017-06-16,"buenavista",2017,6,24,"Fri"
"buenavista.13","Untitled Disney Fairy-Tale (2017) [Live Action]",2017-07-28,"buenavista",2017,7,30,"Fri"
"buenavista.14","Thor: Ragnarok",2017-11-03,"buenavista",2017,11,44,"Fri"
"buenavista.15","Coco",2017-11-22,"buenavista",2017,11,47,"Wed"
"buenavista.16","Star Wars: Episode VIII",2017-12-15,"buenavista",2017,12,50,"Fri"
"buenavista.17","Black Panther",2018-02-16,"buenavista",2018,2,7,"Fri"
"buenavista.18","Untitled Wreck-It Ralph Sequel",2018-03-09,"buenavista",2018,3,10,"Fri"
"buenavista.19","Untitled Disney Fairy-Tale #2 (2018) [Live Action]",2018-04-06,"buenavista",2018,4,14,"Fri"
"buenavista.20","Avengers: Infinity War",2018-05-04,"buenavista",2018,5,18,"Fri"
"buenavista.21","Untitled Han Solo Star Wars Anthology Film",2018-05-25,"buenavista",2018,5,21,"Fri"
"buenavista.22","Toy Story 4",2018-06-15,"buenavista",2018,6,24,"Fri"
"buenavista.23","Ant-Man and the Wasp",2018-07-06,"buenavista",2018,7,27,"Fri"
"buenavista.24","Untitled Disney Live Action #1 (2018)",2018-08-03,"buenavista",2018,8,31,"Fri"
"buenavista.25","Mulan (Live Action)",2018-11-02,"buenavista",2018,11,44,"Fri"
"buenavista.26","Gigantic",2018-11-21,"buenavista",2018,11,47,"Wed"
"buenavista.27","Mary Poppins Returns",2018-12-25,"buenavista",2018,12,52,"Tues"
"buenavista.28","Captain Marvel",2019-03-08,"buenavista",2019,3,10,"Fri"
"buenavista.29","Untitled Disney Fairy Tale (Live Action)",2019-03-29,"buenavista",2019,3,13,"Fri"
"buenavista.30","Untitled Disneytoon Movie (2019)",2019-04-12,"buenavista",2019,4,15,"Fri"
"buenavista.31","Untitled Avengers",2019-05-03,"buenavista",2019,5,18,"Fri"
"buenavista.32","The Incredibles 2",2019-06-21,"buenavista",2019,6,25,"Fri"
"buenavista.33","Untitled Indiana Jones (2019)",2019-07-19,"buenavista",2019,7,29,"Fri"
"buenavista.34","Untitled Disney Fairy-Tale #1 (2019) [Live Action]",2019-11-08,"buenavista",2019,11,45,"Fri"
"buenavista.35","Untitled Disney Animation (3-D)",2019-11-27,"buenavista",2019,11,48,"Wed"
"buenavista.36","Untitled Disney Fairy-Tale #2 (2019) [Live Action]",2019-12-20,"buenavista",2019,12,51,"Fri"
"buenavista.37","Untitled Pixar Animation (March 2020)",2020-03-13,"buenavista",2020,3,11,"Fri"
"buenavista.38","Untitled Marvel Movie (May 2020)",2020-05-01,"buenavista",2020,5,18,"Fri"
"buenavista.39","Untitled Pixar Animation (June 2020)",2020-06-19,"buenavista",2020,6,25,"Fri"
"buenavista.40","Untitled Marvel Movie (July 2020)",2020-07-10,"buenavista",2020,7,28,"Fri"
"buenavista.41","Untitled Marvel Movie (November 2020)",2020-11-06,"buenavista",2020,11,45,"Fri"
"buenavista.42","Untitled Disney Animation (Nov 2020)",2020-11-25,"buenavista",2020,11,48,"Wed"
"fox.5","Keeping Up with the Joneses",2016-10-21,"fox",2016,10,43,"Fri"
"fox.6","Trolls",2016-11-04,"fox",2016,11,45,"Fri"
"fox.7","Rules Don't Apply",2016-11-23,"fox",2016,11,47,"Wed"
"fox.8","Assassin's Creed",2016-12-21,"fox",2016,12,51,"Wed"
"fox.9","Why Him?",2016-12-25,"fox",2016,12,52,"Sun"
"fox.10","Hidden Figures",2017-01-13,"fox",2017,1,2,"Fri"
"fox.11","A Cure for Wellness",2017-02-17,"fox",2017,2,7,"Fri"
"fox.12","Wilson",2017-03-03,"fox",2017,3,9,"Fri"
"fox.13","Logan",2017-03-03,"fox",2017,3,9,"Fri"
"fox.14","The Boss Baby",2017-03-31,"fox",2017,3,13,"Fri"
"fox.15","Mother/Daughter",2017-05-12,"fox",2017,5,19,"Fri"
"fox.16","Diary of a Wimpy Kid: The Long Haul",2017-05-19,"fox",2017,5,20,"Fri"
"fox.17","Captain Underpants",2017-06-02,"fox",2017,6,22,"Fri"
"fox.18","Kingsman The Golden Circle",2017-06-16,"fox",2017,6,24,"Fri"
"fox.19","War for the Planet of the Apes",2017-07-14,"fox",2017,7,28,"Fri"
"fox.20","Alien: Covenant",2017-08-04,"fox",2017,8,31,"Fri"
"fox.21","Untitled Fox / Marvel Film (2017)",2017-10-06,"fox",2017,10,40,"Fri"
"fox.22","The Mountain Between Us",2017-10-20,"fox",2017,10,42,"Fri"
"fox.23","Red Sparrow",2017-11-10,"fox",2017,11,45,"Fri"
"fox.24","Murder on the Orient Express (2017)",2017-11-22,"fox",2017,11,47,"Wed"
"fox.25","The Story of Ferdinand",2017-12-22,"fox",2017,12,51,"Fri"
"fox.26","The Greatest Showman on Earth",2017-12-25,"fox",2017,12,52,"Mon"
"fox.27","Maze Runner: The Death Cure",2018-01-12,"fox",2018,1,2,"Fri"
"fox.28","Predator (2018)",2018-02-09,"fox",2018,2,6,"Fri"
"fox.29","Larrikins",2018-02-16,"fox",2018,2,7,"Fri"
"fox.30","Untitled Fox / Marvel Film (2018)",2018-03-02,"fox",2018,3,9,"Fri"
"fox.31","Anubis",2018-03-23,"fox",2018,3,12,"Fri"
"fox.32","Untitled Fox/DWA/Blue Sky (March 2018)",2018-03-23,"fox",2018,3,12,"Fri"
"fox.33","How to Train Your Dragon 3",2018-05-18,"fox",2018,5,20,"Fri"
"fox.34","Untitled Fox/DWA/Blue Sky (June 2018)",2018-06-29,"fox",2018,6,26,"Fri"
"fox.35","Untitled Fox / Marvel",2018-06-29,"fox",2018,6,26,"Fri"
"fox.36","Alita: Battle Angel",2018-07-20,"fox",2018,7,29,"Fri"
"fox.37","Untitled Fox/DWA/Blue Sky (July 2018)",2018-07-20,"fox",2018,7,29,"Fri"
"fox.40","Pigeon Impossible",2019-01-18,"fox",2019,1,3,"Fri"
"paramount.5","Jack Reacher: Never Go Back",2016-10-21,"paramount",2016,10,43,"Fri"
"paramount.6","Arrival",2016-11-11,"paramount",2016,11,46,"Fri"
"paramount.7","Allied",2016-11-23,"paramount",2016,11,47,"Wed"
"paramount.8","Office Christmas Party",2016-12-09,"paramount",2016,12,50,"Fri"
"paramount.9","Silence (2016)",2016-12-23,"paramount",2016,12,52,"Fri"
"paramount.10","Fences",2016-12-25,"paramount",2016,12,52,"Sun"
"paramount.11","Monster Trucks",2017-01-13,"paramount",2017,1,2,"Fri"
"paramount.12","xXx: The Return of Xander Cage",2017-01-20,"paramount",2017,1,3,"Fri"
"paramount.13","Rings",2017-02-03,"paramount",2017,2,5,"Fri"
"paramount.14","Same Kind of Different as Me",2017-02-03,"paramount",2017,2,5,"Fri"
"paramount.15","God Particle",2017-02-24,"paramount",2017,2,8,"Fri"
"paramount.16","Ghost in the Shell (2017)",2017-03-31,"paramount",2017,3,13,"Fri"
"paramount.17","Baywatch",2017-05-19,"paramount",2017,5,20,"Fri"
"paramount.18","World War Z 2",2017-06-09,"paramount",2017,6,23,"Fri"
"paramount.19","Transformers: The Last Knight",2017-06-23,"paramount",2017,6,25,"Fri"
"paramount.20","Friday the 13th (2016)",2017-10-13,"paramount",2017,10,41,"Fri"
"paramount.22","Sherlock Gnomes",2018-01-12,"paramount",2018,1,2,"Fri"
"paramount.23","Transformers 6",2018-06-08,"paramount",2018,6,23,"Fri"
"paramount.24","SpongeBob SquarePants 3",2019-02-08,"paramount",2019,2,6,"Fri"
"paramount.25","Amusement Park",2019-03-22,"paramount",2019,3,12,"Fri"
"paramount.26","Transformers 7",2019-06-28,"paramount",2019,6,26,"Fri"
"sony.5","Inferno",2016-10-28,"sony",2016,10,44,"Fri"
"sony.6","Passengers (2016)",2016-12-21,"sony",2016,12,51,"Wed"
"sony.7","The Dark Tower",2017-02-17,"sony",2017,2,7,"Fri"
"sony.8","Baby Driver",2017-03-17,"sony",2017,3,11,"Fri"
"sony.9","Smurfs: The Lost Village",2017-04-07,"sony",2017,4,14,"Fri"
"sony.10","Barbie",2017-05-12,"sony",2017,5,19,"Fri"
"sony.11","Life (2017)",2017-05-26,"sony",2017,5,21,"Fri"
"sony.12","Rock That Body",2017-06-23,"sony",2017,6,25,"Fri"
"sony.13","Spider-Man: Homecoming",2017-07-07,"sony",2017,7,27,"Fri"
"sony.14","Jumanji (2017)",2017-07-28,"sony",2017,7,30,"Fri"
"sony.15","The Solutrean",2017-09-15,"sony",2017,9,37,"Fri"
"sony.16","The Equalizer 2",2017-09-29,"sony",2017,9,39,"Fri"
"sony.17","The Star",2017-11-10,"sony",2017,11,45,"Fri"
"sony.19","Bad Boys for Life",2018-01-12,"sony",2018,1,2,"Fri"
"sony.20","Animated Spider-Man",2018-12-21,"sony",2018,12,51,"Fri"
"sony.21","Bad Boys 4",2019-07-03,"sony",2019,7,27,"Wed"
"sony.22","SPA Animated Franchise (2019)",2019-07-26,"sony",2019,7,30,"Fri"
