"","title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short","scale.rating","cluster.labels"
"1","'Til There Was You",1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,0,0,1,0,-0.874768790729135,2
"2","10 Things I Hate About You",1999,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"PG-13",0,0,1,0,0,1,0,0.594693997314025,1
"3","100 Mile Rule",2002,98,1100000,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"R",0,0,1,0,0,0,0,-0.256047616816226,2
"4","13 Going On 30",2004,98,37000000,6.4,7859,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"PG-13",0,0,1,1,0,1,0,0.362673557096684,1
"5","13th Warrior, The",1999,102,85000000,6.1,14344,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0,0.130653116879343,1
"6","15 Minutes",2001,120,42000000,6.1,10866,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0,0.130653116879343,1
"7","1776",1972,180,4000000,7.3,1754,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"PG",0,0,0,1,0,0,0,1.05873487774871,1
"8","2 Fast 2 Furious",2003,107,76000000,5.1,9556,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0,-0.642748350511794,2
"9","20 Dates",1998,87,60000,5.4,841,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,1,1,0,-0.410727910294453,2
"10","200 Cigarettes",1999,101,6000000,5.4,4514,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0,-0.410727910294453,2
