"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"1","Amy Adams",2340.7,29,80.7,"Batman v Superman",330.4
"2","Ben Affleck",2503.5,39,64.2,"Batman v Superman",330.4
"3","Casey Affleck",911.5,23,39.6,"Interstellar",188
"4","Dianna Agron",132.1,5,26.4,"I Am Number Four",55.1
"5","Jessica Alba",952.3,24,39.7,"Fantastic Four (2005)",154.7
"6","Alan Alda",753,22,34.2,"What Women Want",182.8
"7","Joan Allen",854.3,24,35.6,"The Bourne Ultimatum",227.5
"8","Tim Allen",1763,20,88.1,"Toy Story 3",415
"9","Woody Allen",461.3,27,17.1,"Antz",90.8
"10","Mathieu Amalric",300.7,13,23.1,"Quantum of Solace",168.4
"11","Gillian Anderson",146.8,14,10.5,"X-Files",83.9
"12","Julie Andrews",928.3,14,66.3,"Despicable Me 3",264.6
"13","Jennifer Aniston",1627.1,32,50.8,"Bruce Almighty",242.8
"14","Aziz Ansari",168.6,3,56.2,"Epic",107.5
"15","Christina Applegate",1117.1,21,53.2,"Alvin and the Chipmunks 2",219.6
"16","Tom Arnold",415.9,18,23.1,"True Lies",146.3
"17","Gemma Arterton",517.4,13,39.8,"Quantum of Solace",168.4
"18","Kevin Bacon",1519.2,48,31.7,"Apollo 13",173.8
"19","Penn Badgley",134.6,6,22.4,"Easy A",58.4
"20","Alec Baldwin",2437.5,53,46,"Pearl Harbor",198.5
"21","Christian Bale",2215.8,37,59.9,"The Dark Knight",534.9
"22","Eric Bana",1068.3,17,62.8,"Star Trek",257.7
"23","Anne Bancroft",548,28,19.6,"The Graduate",104.9
"24","Antonio Banderas",2386.4,43,55.5,"Shrek 2",441.2
"25","Elizabeth Banks",2811.7,36,78.1,"Catching Fire",424.7
"26","Javier Bardem",722.3,17,42.5,"Skyfall",304.4
"27","Ben Barnes",287.7,5,57.5,"The Chronicles of Narnia: Prince Caspian",141.6
"28","Drew Barrymore",1614.6,36,44.9,"E.T.",435.1
"29","Justin Bartha",1134,12,94.5,"The Hangover",277.3
"30","Jay Baruchel",1074.4,18,59.7,"How to Train Your Dragon",217.6
"31","Kim Basinger",1085,35,31,"Batman",251.2
"32","Angela Bassett",881.1,25,35.2,"Green Lantern",116.6
